zts1e	Nuevo Ítem
zts1432e	Ítem para aventuras [n] Haz doble clic sobre este ítem, [n] y podrás ingresar de inmediato al Time-Space. [n][n]
zts1433e	Retorno de una leyenda!![n] Jajamaru regresa a NosTale para salvar a la Princesa Sakura!![n]
zts1434e	Sello de Namaju
zts1435e	Empieza con el raid Namaju en la Villa de Namaju en el norte de NosVille. [n]Recomendación de nivel: 50-99 [n][Cómo utilizarlo] El jugador se convierte en jefe de grupo.[n] Si eres el jefe del grupo, haz clic sobre otro personaje [n] y utiliza el botón de invitación. Llegando a ser todos los preparativos, ir a la Entrada de raid. [n] Cuando el jefe de grupo ingrese en el raid, [n] los demás miembros lo seguirán automáticamente.[n] [Advertencia] Los personajes que tengan un nivel más alto que el nivel recomendado [n] pueden participar en el raid, pero recibirán una penalización. [n] (Aunque se tenga éxito, no aumentará el nivel de vidas, ni se recibirán baúles del tesoro). [n][n]
zts1436e	Cajón de las Adivinanzas
zts1437e	Arranca con el Namaju raid en la Villa de Namaju en el norte de NosVille. [n]Recomendación de nivel: 50-99 [n][Cómo utilizarlo] El jugador se convierte en jefe de grupo.[n] Si eres el jefe del grupo, haz clic sobre otro personaje [n] y utiliza el botón de invitación. Llegando a ser todos los preparativos, ir a la Entrada de raid. [n] Cuando el jefe de grupo ingrese en el raid, [n] éste será seguido automáticamente porlos demás miembros. [n] [Advertencia] Los personajes que tengan un nivel más alto que el nivel recomendado [n] pueden participar en el raid, no obstante recibirán una penalización. [n] (Aunque se tenga éxito, no aumentará el nivel de vidas, ni se recibirán baúles del tesoro). [n][n]
zts1438e	Inscripción para la Batalla Cristal de Arco Iris
zts1439e	NotUse
zts1440e	Si quieres, puedes gozar de NosDance en el Mini-mundo.
zts1441e	Sombrero de Gato
zts1442e	Sombrero de Asno
zts1443e	Si lo utilizas, te protegerá del Grito de Mandras con una probabilidad segura [n][n]
zts1444e	Sombrero de vaquero
zts1445e	Sombrero de mono
zts1446e	Si lo utilizas, te protegerá de quedarte en blanco[n][n]
zts1447e	Sombrero de antílope
zts1448e	Sombrero de embudo
zts1449e	Sombrero de Pingüino
zts1450e	Sombrero Antiguo de Copa
zts1451e	Cinta de Oreja Grande
zts1452e	Sombrero de Flores Decorativas
zts1453e	Lave Dañada
zts1454e	Diamante Negro
zts1455e	Carne de Primavera
zts1456e	Si lo utilizas, tendrás una probabilidad de 4: [n] Aumenta el nivel de HP, Aumenta el nivel de MP,  [n] Aumenta el nivel de SP, Para no recibir nada.[n] Si se entrega a Eva 10 items con 20.000  piedras de oro, [n] éste podrá ser cambiado por un boleto para un festival. Será retirado cuando se acabe el evento.[n][n]
zts1457e	Bambú de Primavera
zts1458e	Bolso perfumado
zts1459e	Arroz de Primavera
zts1460e	Sello para el Evento de Vacaciones
zts1462e	Alimento especial para mascotas
zts1463e	Dale a tu NosMate esta comida para que pueda recoger automáticamente ítems que se han caído.[n] Todos los ítems recogidos van a parar al inventario.[n] Esta función solo se activa con las mascotas que te siguen.[n][n] Si la mascota se queda encerrada en una perla, esta función desaparecerá.
zts1464e	Si lo utilizas, no serás afectado [n] por el veneno del Gigante nebuloso. [n] Es necesario para una misión, así que cuídalo mucho.[n][n]
zts1465e	En el Escenario de Festivales en NosVille podrás llevar a cabo tu 'raid'.[n]Recomendación de nivel: 50-99 [n][Cómo utilizarlo] El jugador se convierte en jefe de grupo.[n] Si eres el jefe del grupo, haz clic sobre otro personaje [n] y pulsa el botón "Grupo". Ve a la Entrada de Ataque[n]  Cuando ingrese el jefe de grupo al Ataque, [n] todos los  integrantes del grupo seguirán el ataque automáticamente. [n] [Advertencia] Los personajes que tengan un nivel más alto que el nivel recomendado [n] pueden participar en el ataque, pero recibirán una penalización. [n] (Aunque se tenga éxito, no aumentarán los corazones, ni se recibirán baúles del tesoro). [n][n]
zts1466e	No podrá ser negociado por los jugadores.[n]
zts1467e	Si lo utilizas, te protegerá del Grito de Mandras con una probabilidad segura [n][n]. [n] No podrá ser negociado entre jugadores. [n]
zts1468e	Al utilizarlo, te protegerá de no quedar aturdido. No podrá ser negociado entre jugadores. [n][n]
zts1469e	Si lo utilizas, te protegerá de que mueras desangrado. [n] No puede ser negociado entre jugadores.[n]
zts1470e	No podrá ser negociado entre jugadores. [n][n]
zts1471e	Si lo utilizas, te protegerá del Grito de Mandras con una probabilidad segura. [n] No podrá ser negociado entre jugadores. [n]
zts1472e	Si lo utilizas, te protegerá de que mueras desangrado. [n] No podrá ser negociado entre jugadores. [n]
zts1473e	Hada de la Perla Grasslin
zts1474e	Si tienes un Enano Grasslin como mascota, [n]éste no necesitará alimento.[n](En lugar de eso, él gastará MP) [n]
zts1475e	Si tienes una Hada Grasslin como mascota, [n] ésta no necesitará alimento.[n](En cambio de esto ella gastará MP) [n]
zts1476e	Poción de Savior
zts1477e	El personaje podrá resucitar, si él se muere en el Reino de la Muerte.[n][n]
zts1478e	Teletransporte para el Acantilado de la Puesta del Sol
zts1479e	Teletransporta al personaje [n] hacia el Acantilado de la Puesta del Sol, donde se encuentra la Puerta del Reino de la Muerte. [n][n]
zts1480e	Regenera al personaje, [n]si él se muere en el Reino de la Muerte
zts1481e	Inscripción para la Batalla Arco Iris
zts1482e	Teletransporta el personaje hacia el Acantilado de la Puesta del Sol, el que te conducirá al Reino de la Muerte
zts1483e	Forma el grupo para entrar en la Batalla del Cristal de Arco Iris.[n]Puede ser utilizado sólo por la cabeza de familia y por los representantes de la familia[n] El personaje que lo utilice, se convertirá en jefe de grupo.[n] El jefe de grupo invitará a otros integrantes [n] y éstos se convertirán en integrantes del Raid[n] Preséntate en el Círculo del Tiempo para poder participar en la batalla, cuando ésta empiece.[n][n]
zts1484e	Almacén Gigantesco (Indefinido)
zts1485e	56 posiciones.[n] Se lo puede utilizar[n] por tiempo ilimitado.[n][n]
zts1486e	Puede ser utilizado en todas las 56 posiciones [n][n]
zts1487e	Hada del Fuego[n][n]Mientras más tiempo la lleves contigo en la batalla,[n] más aumentará la fuerza de su elemento.[n] Una parte de esa fuerza se añadirá automáticamente al elemento del jugador.[n] Este hada puede crecer hasta el nivel 70.[n][n]
zts1488e	Hada del Agua[n][n]Mientras más tiempo la lleves contigo en la batalla,[n] más aumentará la fuerza de su elemento.[n] Una parte de esa fuerza se añadirá automáticamente al elemento del jugador.[n] Este hada puede crecer hasta el nivel 70.[n][n]
zts1489e	Hada de la Luz[n][n]Mientras más tiempo la lleves contigo en la batalla,[n] más aumentará la fuerza de su elemento.[n] Una parte de esa fuerza se añadirá automáticamente al elemento del jugador.[n] Este hada puede crecer hasta el nivel 70.[n][n]
zts1490e	Hada de las Tinieblas[n][n]Mientras más tiempo la lleves contigo en la batalla,[n] más aumentará la fuerza de su elemento.[n] Una parte de esa fuerza se añadirá automáticamente al elemento del jugador.[n] Este hada puede crecer hasta el nivel 70.[n][n]
zts1491e	Si lo utilizas, te protegerá del Grito de Mandras con una probabilidad segura [n][n]
zts1492e	Al utilizarlo, te protegerá de un Black-out [n][n]
zts1493e	Si lo utilizas, te protegerá de morir desangrado [n]
zts1494e	Hada del Fuego y crece hasta el nivel 70.[n]
zts1495e	Hada del Agua y crece hasta el nivel 70.[n]
zts1496e	Hada de la Luz y crece hasta el nivel 70.[n]
zts1497e	Hada de la Sombra y crece hasta el nivel 70. [n]
zts1505e	Bastón Nuevo 1
zts1506e	Bastón Nuevo 2
zts1507e	Armadura Nueva (Mágica)
zts1508e	Armadura Nueva (Distancia)
zts1509e	Armadura Nueva (Física)
zts1510e	Xiphos
zts1511e	Schiavona
zts1512e	Scrammer Heroíco
zts1513e	Ballesta Heroica
zts1514e	Arco Elemental
zts1515e	Arco del Peligro
zts1516e	Arma Mágica Heroica
zts1517e	Vara Mágica del Serafín
zts1518e	Varita Mágica de Teracen
zts1519e	Blinder1
zts1520e	Blinder2
zts1521e	Blinder3
zts1522e	Blinder4
zts1523e	Blinder5
zts1524e	Máscara1
zts1525e	Máscara2
zts1526e	Máscara3
zts1527e	Máscara4
zts1528e	Máscara5
zts1529e	Blinder2 1
zts1530e	Blinder2 2
zts1531e	Blinder2 3
zts1532e	Blinder2 4
zts1533e	Blinder2 5
zts1534e	Guante Brillante de Combate
zts1535e	Guante Brillante de Cadenas
zts1536e	Guante Brillante Rápido
zts1537e	Guante Brillante de Resistencia
zts1538e	Guante Brillante de Tormenta
zts1539e	Guante Brillante de Llamas
zts1540e	Guante Brillante Divino
zts1541e	Guante de la Muerte Brillante
zts1542e	Botas de Protección Brillantes
zts1543e	Botas Brillantes Pesadas de Metal
zts1544e	Botas de Viento Brillantes
zts1545e	Botas de Acero Brillantes
zts1546e	Zapatos Ondulados Brillantes
zts1547e	Zapatos Brillantes de Fuego
zts1548e	Zapatos Luminosos Brillantes
zts1549e	Zapatos Brillantes de la Sombra
zts1550e	Baúl del Tesoro 1
zts1551e	Baúl del Tesoro 2
zts1552e	Baúl del Tesoro 3
zts1553e	Baúl del Tesoro 4
zts1554e	Baúl del Tesoro 5
zts1555e	Tarjeta del especialista del caballero de la cruz
zts1556e	Tarjeta del especialista del berserker
zts1557e	Tarjeta del especialista del destructor
zts1558e	Tarjeta del especialista del guardabosques
zts1559e	Tarjeta del especialista del mago azul
zts1560e	Tarjeta del especialista del mago de las tinieblas
zts1561e	1r Nivel de construcción
zts1562e	2ndo Nivel de construcción
zts1563e	Botas de Combinación del tipo A
zts1564e	Botas de Combinación del tipo B
zts1565e	Guantes de Combinación del tipo A
zts1566e	Guantes de Combinación del tipo B
zts1567e	Receta de Artículos de Consumo
zts1568e	Poción para restaurar el nivel de HP
zts1569e	Poción para restaurar el nivel de MP
zts1570e	Más fuerte que la Poción de Restauración
zts1571e	Poción para restaurar el nivel básico de SP
zts1572e	Poción para fortalecer el Ataque
zts1573e	Poción para fortalecer el Equipamiento
zts1574e	Poción para aumentar la Energía
zts1575e	Poción para aumentar la Experiencia
zts1576e	Ladrillo
zts1577e	Semilla de la Vida
zts1578e	Huevos de Gallina
zts1579e	Carpas
zts1580e	Oriharcon
zts1581e	Hoja Curiosa
zts1582e	Gusano
zts1583e	Caballa
zts1584e	Martillo
zts1585e	Hacha
zts1586e	Mena Mithrill
zts1587e	Aguja
zts1588e	Diamante
zts1589e	Sucursal del Bosque Terrestre
zts1590e	Ballena
zts1591e	Piedra Misteriosa
zts1592e	Manzana
zts1593e	Pluma de Oro
zts1594e	Carrete de Hilo
zts1595e	Piedra de Fuego
zts1596e	Piedra del Agua
zts1597e	Piedra de la Luz
zts1598e	Piedra de la Tinieblas
zts1599e	Metal Legendario
zts1600e	Madera Legendaria
zts1601e	Tela Legendaria
zts1602e	Piel Legendario
zts1603e	Cantera Pequeña
zts1604e	Serrería Pequeña
zts1605e	Diana Pequeña
zts1606e	Vivero pequeño
zts1607e	Cantera Mediana
zts1608e	Serrería Mediana
zts1609e	Diana Mediana
zts1610e	Vivero Mediano
zts1611e	Cantera Grande
zts1612e	Serrería Grande
zts1613e	Diana Grande
zts1614e	Vivero Grande
zts1615e	Puede crear edificios útiles. Hacer doble clic para ver la lista [n][n]
zts1616e	Puede crear edificios maravillosos. Hacer doble clic para ver la lista[n][n]
zts1617e	Puede confeccionar una variedad de zapatos. Hacer doble clic para ver la lista.[n][n]
zts1619e	Puede confeccionar guantes de varios tipos. Hacer doble clic para ver la lista.[n][n]
zts1621e	Produce diferentes materiales de consumo. Hacer doble clic para ver la lista.[n][n]
zts1622e	Al utilizarlo, recuperáis tú y tu NosMate el 100% del niivel de HP
zts1623e	Al utilizarlo, recuperáis tú y tu NosMate el 100% del nivel de MP
zts1624e	Al utilizarlo, recuperáis tú y tu NosMate el 100% del nivel de HP y MP
zts1625e	Si lo utilizas, te llenaras de 10.000 SP
zts1626e	20% de aumento de ataque por 10 minutos [n][n]
zts1627e	20% de aumento de equipamiento por 10 minutos [n][n]
zts1628e	20% de aumento en el nivel de HP y MP durante 10 minutos[n][n]
zts1629e	20% de aumento en la experiencia por 10 minutos [n][n]
zts1630e	Corazón de Gyunwoo
zts1631e	Se necesita para la creación del regalo de Chilsug. Este ítem desaparecerá en cuanto se acabe el evento.[n][n]
zts1632e	Lagrima de Jignyos
zts1633e	Se utiliza para la creación del regalo de Chilsug. Este ítem desaparecerá en cuanto se acabe el evento.[n][n]
zts1634e	Pluma de pajaro
zts1635e	Se necesita para la creación del regalo de Chilsug. Este ítem desaparecerá en cuanto se acabe el evento.[n][n]
zts1636e	Regalo de Chilsug
zts1637e	Entrega a alguien este regalo en una ocasión especial. Si el receptor acepta el regalo obtendrás una bendición durante 50 minutos. Este ítem desaparecerá en cuanto se acabe el evento.[n][n]
zts1638e	Corazón helado
zts1639e	Margaritas
zts1640e	Lirio
zts1641e	Campana pequeña
zts1642e	Escama de Fever
zts1643e	Polvo de Polilla
zts1644e	Polvo de los Espíritus
zts1645e	Goma de mascar
zts1646e	Cuerno de Rolli
zts1647e	Cristal del Alma
zts1648e	Hoja de Arce Dorada
zts1649e	Estambre Dorado
zts1650e	Bigotes de la Madre Topo
zts1651e	Botella llena de Agua
zts1652e	Cepillo del Pájaro Racoony
zts1653e	Cupón de durabilidad
zts1654e	Puede ser utilizado, presionando el Botón 'Usar-Cupón' en la ventana de duración del Mini-juego. Al utilizarlo, aumenta la duración del Mini-juego sin gastar el oro.
zts1655e	Cupón de recompensa
zts1656e	Si se encuentra en el inventario, serás preguntado si lo quieres usar o no. Si lo utilizas,[n]la recompensa es doble.[n][n]
zts1657e	Cupón de producción
zts1658e	Usar con doble clic.[n]. Puede ser utilizado cuando los Puntos de Producción estén en 0.[n] Llena completamente tus puntos de producción.
zts1659e	Usar con doble clic[n] Llena los puntos de producción con 500[n]
zts1660e	Mochila Aventurera (10 días)
zts1661e	Mochila Aventurera (30 días)
zts1662e	Mochila Aventurera (60 días)
zts1663e	Mochila del compañero (10 días)
zts1664e	Mochila del compañero (30 días)
zts1665e	Mochila del compañero (60 días)
zts1666e	Cesta NosMate (10 días)
zts1667e	Cesta NosMate (30 días)
zts1668e	Cesta NosMate (60 días)
zts1669e	Mochila (10 días)
zts1670e	Mochila (30 días)
zts1671e	Mochila (60 días)
zts1672e	Bendición de Erenia
zts1673e	Bendición del ángel guardián
zts1674e	Bendición de Zenas
zts1675e	Set de Bendiciones
zts1676e	Máscara Feroz A
zts1677e	Máscara Feroz B
zts1678e	Máscara Feroz C
zts1679e	Máscara de la Calma A
zts1680e	Máscara de la Calma B
zts1681e	Máscara de la Calma C
zts1682e	Venda del Abismo A
zts1683e	Venda del Abismo B
zts1684e	Venda del Abismo C
zts1685e	Ardilla marrón
zts1686e	Ardilla gladiadora
zts1687e	Ardilla cazarratones
zts1688e	Agua Opaca
zts1689e	Caja Misteriosa A
zts1690e	Caja Misteriosa B
zts1691e	Caja Misteriosa C
zts1692e	Agua Contaminada
zts1693e	Agua Sucia
zts1694e	Agua limpia
zts1695e	Hígado de un Perro Negro Embrujado
zts1696e	Fortalecedor de hada
zts1697e	Energía Impulsadora
zts1698e	Si lo utilizas, estarás equipado con la siguiente habilidad durante 30 días. [n] 12 posiciones serán añadidas por cada equipamiento, inventario y items especiales. Suman 36 posiciones.[n]  No puede ser utilizado con un Medallón.[n][n]
zts1699e	Con la ayuda de tu NosMate podrás abrir tu almacén a todas horas y en todo lugar. No podrás utilizarlo, si tu mascota se ha muerto.[n] Ademas deberás colocar un almacén en el Mini-mundo
zts1700e	El nivel de experiencia de tu NosMate aumenta en un 50%.[n]El movimiento de velocidad de tu NosMate aumenta 2 puntos [n] (por una hora) [n]
zts1701e	Bendición de Ancelloan
zts1702e	La experiencia de Combate y Profesión se aumenta en un 100% [n] No puede ser utilizado con Medallones.[n] (Disponible por una hora)
zts1703e	Agua Bendita de Renacimiento
zts1704e	Si lo utilizas, estarás equipado con la siguiente habilidad durante 10 días:[n] 12 posiciones serán añadidas por cada equipamiento, inventario e items especiales. Suman 36 posiciones.[n]No puede ser utilizado con un Medallón.[n][n]
zts1705e	Si lo utilizas, estarás equipado con la siguiente habilidad durante 60 días. [n] 12 posiciones serán añadidas por cada equipamiento, inventario y items especiales. Suman 36 posiciones.[n]  No puede ser utilizado con un Medallón.[n][n]
zts1706e	Loopuster
zts1707e	Espada Rota
zts1708e	Bergarce
zts1709e	Seraphion
zts1710e	Caiperu
zts1711e	Ecaracci
zts1712e	Mookrazue
zts1713e	Fairlosue
zts1714e	Renobir
zts1715e	Cai'lander
zts1716e	Suphi'rudin
zts1717e	Ridy'arce
zts1718e	Guante de Roob'raph
zts1719e	Ignora al Guantelete
zts1720e	Zapatos Nebulosos
zts1721e	Botas de Ku'ru'kelron
zts1722e	Collar Diareason
zts1723e	Collar de Rudiselrun
zts1724e	Collar de Kedenoss
zts1725e	Anillo de Diareason
zts1726e	Anillo de Rudiselrun
zts1727e	Anillo de Kedenoss
zts1728e	Brazalete de Diareason
zts1729e	Brazalete de Rudiselrun
zts1730e	Brazalete de Kedenoss
zts1731e	Amante de un Hechizo
zts1732e	Casco de Caballero
zts1733e	Máscara de Caballero
zts1734e	Si lo utilizas, el nivel de HP aumenta 800.[n] Recibirás una Caja de Regalos, si has reunido todos los items N.O.S.[n] Desaparecerá cuando se termine el Evento .[n][n]
zts1735e	Si lo utilizas, el nivel de HP aumenta 800.[n] Recibirás una Caja de Regalos, si has reunido todos los items N.O.S.[n] Desaparecerá cuando se termine el Evento .[n][n]
zts1736e	Si lo utilizas, el nivel de HP y el nivel de MP aumenta 800.[n] Recibirás una Caja de Regalos, si has reunido todos los items N.O.S.[n] Desaparecerá cuando se termine el Evento .[n][n]
zts1737e	Cuando tengas cada uno de los items N.O.S y estés utilizando este ítem, [n] recibirás una caja de regalos.[n]  Este ítem desaparecerá cuando se termine el Evento.[n][n]
zts1738e	Aumenta el combate y la experiencia de profesión en un 100%[ n] (Duración: 1 hora).[n]
zts1739e	Este ítem podrá ser utilizado por cuenta una vez al día. [n] Tú recibes  una Caja de Regalos. [n]Este ítem desaparecerá cuando se termine el Evento.[n][n]
zts1740e	Cuando tengas cada uno de los items N.O.S y estés utilizando este ítem, [n] recibirás una caja de regalos.[n]  Este ítem podrá ser utilizado por cuenta una vez al día. [n]Este ítem desaparecerá cuando se termine el Evento.[n][n]
zts1741e	Si se utilizada el Fortalecedor de Hada, no se podrá cambiar de Hada mientras dure el efecto. [n][n]
zts1742e	En esta caja hay un pequeño presente. Para abrirlo, pincha dos veces en la caja y obtendrás uno de varios regalos. Este ítem desaparecerá en cuanto se acabe el evento.[n][n]
zts1743e	Pastel Verde
zts1744e	Pastel Rojo
zts1745e	Pastel Blanco
zts1746e	¡Reta al Basilisco!
zts1747e	¡Reta al Caballero Gigante!
zts1748e	¡Reta a Treekun!
zts1749e	¡Reta a Crisos!
zts1750e	Tejido Estampado de Amir's Dorn
zts1751e	Arma Espinosa de Amir (Dibujo A)
zts1752e	Arma Espinosa de Amir (Dibujo B)
zts1753e	Especificaciones de las armas de Amir
zts1754e	Especificación sobrecubierta de las Armas de Amir
zts1755e	Sal Gema
zts1756e	Pelaje Azul
zts1757e	Fruta Podrida
zts1758e	Fruta Dorada
zts1759e	Locomotora
zts1760e	Corteza Contaminada
zts1761e	Corteza Dorada
zts1762e	Raíz Perdida
zts1763e	Madre Grande
zts1764e	Flecha Impura
zts1765e	Herradura de Yaks
zts1766e	Pata de Rana
zts1767e	Hongo Dorado
zts1768e	Tornillo Gigante
zts1769e	Punta de Espada
zts1770e	Muela
zts1771e	Musgo de Oro
zts1772e	Cola de Topo
zts1773e	Perla de Cristal
zts1774e	Perla de la Muerte
zts1775e	Perla de Lavanda
zts1776e	Perla de Sangre
zts1777e	Perla de Calabaza
zts1778e	Perla de Oro
zts1779e	Pinza de Cangrejos
zts1780e	Antena Luminosa
zts1781e	Rueda Dentada
zts1782e	Cáscara Podrida
zts1783e	Raíz Contaminada
zts1784e	Cola de Rata
zts1785e	Antena Candente
zts1786e	Forjado en las minas oscuras de los enanos y labrado por el herrero maestro Sanin Fu.[n] Antiguamente este corazón le pertenecía al Rey de los Ángeles. Posee del Poder de las Tinieblas y la habilidad de cortar la luz [n]
zts1787e	La cuchilla afilada de esta arma emite una energía misteriosa y poderosa.[n][n]
zts1788e	Siente la Protección de un Guerrero Magnífico.[n]
zts1789e	El Arco obtiene su Poder a través del contacto con una Pluma del Ángel Encantado
zts1790e	Fabricado por la mano de un Ángel con métodos fáciles.[n]
zts1791e	Una Varita con la Bendición de los Ángeles. Posee un Poder grande.[n]
zts1792e	Con el manifiesto escrito por un Espíritu Tenebroso sobre la Espada, sientes constantemente al Espíritu a tu lado[n]
zts1793e	Mientras más luchas, más te sientes como si fueses a lograrlo todo y además te robusteces.[n]
zts1794e	Desgarra a tu Oponente como un Tornado.[n]
zts1795e	Los daños y el Elemento de Defensa se aumentan a través de la Bendición del Espíritu del Agua[n][n]
zts1796e	Un Arco único que antiguamente fue llevado por un Grande Emperador[n][n]
zts1797e	Este Puñal se encontraba inicialmente en posesión de las Hadas [n] Este Puñal posee el Poder de las Hadas y aumenta el Poder de los elementos[n][n]
zts1798e	Contiene la fogosidad de un Mago Maligno.[n] Aumenta las ganas de Ataque.[n]
zts1799e	Contiene la fogosidad de un Mago Bueno. [n] Aumenta el Poder Resistencia.[n]
zts1800e	Utilizado por un noble famoso y tiene su propia dignidad.[n]
zts1801e	Un Blindaje con flecos grandiosos, fabricado de fibras de oro. Tiene la dignidad de un Caballero.[n]
zts1802e	El Sello Guardián del Elfo Mayor esta impregnado en la superficie. Tranquiliza a quienes lo llevan.[n]
zts1803e	El Sello Guardián del Guardián Noble esta impregnado en la superficie. Honra a quienes lo llevan.[n]
zts1804e	Permitido sólo para: 65-99[n] Se puede entrar a partir de la tarjeta [ el 3er nivel del Túnel subterráneo]. No hay limites con respecto a la cantidad de participantes.[n]
zts1805e	¡Reta al Caballero Gigante A!
zts1806e	Permitido solo para: 65:99 [n] Se puede entrar a partir de la tarjeta [ las profundidades de los Bosques de Abeto][n] No hay limites en la cantidad de participantes.[n]
zts1807e	¡Reta al Caballero Gigante B!
zts1808e	¡Reta al Caballero Gigante C!
zts1809e	¡Reta a Treekun A!
zts1810e	Restricción de nivel: 65-99[n] Accesible por el [Bosque de Abetos] [n] No hay ningún limite de personas o familias. [n]
zts1811e	¡Reta a Treekun B!
zts1812e	¡Reta a Treekun C!
zts1813e	¡Reta a Crisos A!
zts1814e	Permitido sólo para: 65:99[n] Se puede entrar a partir de la Tarjeta [Bosque de Arce] No hay limites en el número de participantes.[n]
zts1815e	¡Reta a Crisos B!
zts1816e	¡Reta a Crisos C!
zts1817e	Piedra del Time-Space de los basiliscos
zts1818e	Piedra del Time-Space del Caballero Gigante
zts1819e	Piedra del Time Space de Treekun
zts1820e	Piedra del Time-Space de Chrysos
zts1821e	Hoja
zts1822e	Piedra de Cristal Ardiente
zts1823e	Piedra de Cristal Ondulada
zts1824e	Piedra de Cristal Ventarroza
zts1825e	Cráneo Perdido
zts1826e	Cuerno de Ciervo
zts1827e	Pieza de Armadura Negra
zts1828e	Polvo Negro
zts1829e	Rama Roja
zts1830e	Trozos Sucios
zts1831e	Arena Brillante
zts1832e	Zarpa Afilada
zts1833e	Cristal de los Deseos
zts1834e	Piedra Preciosa Negra
zts1835e	Tronco Impuro
zts1836e	Corazón de basilisco
zts1837e	Pedazos de Piel
zts1838e	Polvo de la Lluvia de Polillas
zts1839e	Cristal del Espíritu del Bosque
zts1840e	Hoja Dorada
zts1841e	Zumo de Abeto
zts1842e	Corazón Endurecido
zts1843e	Piel de Lagartija
zts1844e	Pelaje Marrón
zts1845e	Armadura Sólida
zts1846e	Masa Celular Gigante
zts1847e	Bolsa Luminosa
zts1848e	Piedra de Arena
zts1849e	Diente de Vampiro
zts1850e	Sangre Seca
zts1851e	Gel Verde
zts1852e	Zumo Contaminado
zts1853e	No puede crecer pero tiene un Fuerza de Luz de 35 [n] Si se lleva puesto el Amuleto del Mago, se ahorrará el 20% de los Puntos de Producción[n]
zts1854e	Cinturón de Joyas de Rebecca
zts1855e	Piedra Sangrienta
zts1856e	Diario de Pienas
zts1857e	Página Rota
zts1858e	Collar de Piedras Felices
zts1859e	Botella de agua bendita
zts1860e	Retrato de Justin
zts1861e	Caja Fuerte Pequeña
zts1862e	Pañuelo de Ruddy
zts1863e	Pañuelo de Ruddy
zts1864e	Blanqueador especial
zts1865e	Receta de Blanqueador Especial
zts1866e	Paja
zts1867e	Casco de Habichuelas
zts1868e	Flint
zts1869e	El Libro Elemental de Aventuras
zts1870e	Time- Space del Corazón Congelado
zts1871e	Time- Space de Destrucción
zts1872e	Time-Space del Guardián de la Luz
zts1873e	Time-Space de Archtheridon
zts1874e	Botella de Agua Especial
zts1875e	No podrá equipar a aventureros.[n] Este es el Casco del Caballero Negro Legendario
zts1876e	Aventureros no podrán utilizarlo.[n] Esta es la Máscara del Legendario Caballero Negro.[n][n]
zts1877e	Cabello Punk
zts1878e	Peluca Espinosa
zts1879e	Perla de la Ardilla (Japón)
zts1880e	Perla de la Ardilla Negra (Japón)
zts1881e	Máscara Feroz A (Japón)
zts1882e	Máscara Feroz B (Japón)
zts1883e	Máscara Feroz C (Japón)
zts1884e	Venda del Abismo A (Japón)
zts1885e	Venda del Abismo B (Japón)
zts1886e	Venda del Abismo C (Japón)
zts1887e	Máscara de la Calma A (Japón)
zts1888e	Máscara de la Calma B (Japón)
zts1889e	Máscara de la Calma C (Japón)
zts1890e	Peluca de Colores
zts1891e	Bomba de Cabello Curiosa
zts1892e	Tarjeta del Especialista- Elemento de la Luz [n][n]La voluntad de hierro y la creencia de estos espadachines se ocupan del equilibrio entre el bien y el mal. El mal no tiene poder sobre estos Veladores de la Justicia.[n][n]
zts1893e	Tarjeta del Especialista- Elemento del Fuego[n][n]Su naturaleza destructiva es la ruina para oponentes que se lo encuentran en sus aventuras y exploraciones. Ardiendo de Furia extermina a sus oponentes sin piedad.[n][n]
zts1894e	Tarjeta del Especialista- Elemento del Agua[n][n]Su corazón congelado le permite en situaciones peligrosas que todo su cuerpo se congele y de esta manera aumentar la resistencia contra el ataque del agua. Él es el soberano del frío y del hielo.
zts1895e	Las habilidades de un Hada armada aumentan en un 30% durante una hora.[n] El aspecto de las Hadas se cambia después de su uso (solamente el de las hadas compradas).[n][n]
zts1896e	Airwaves Cassis
zts1897e	Aparece un emoticon masticando.[n][n]
zts1898e	Airwaves Eucalipto
zts1899e	Airwaves Fresa
zts1900e	Airwaves Mentol
zts1901e	Airwaves Limon
zts1902e	Airwaves Naranja
zts1903e	Paracaídas Encantado
zts1904e	Caída en el Hechizo Olas de Aire. [n][n]
zts1905e	Tintura de Pan Árabe
zts1906e	Bomba de Color- Cambia el color o el peinado del pelo en otro color.[n][n]
zts1907e	Rompecabezas del Mini-juego
zts1908e	Airwaves Dragees
zts1909e	Activa el efecto Airwaves.[n][n]
zts1910e	Calabaza
zts1911e	Paracaídas
zts1912e	Máquina de escribir
zts1913e	Memoria
zts1914e	Airwaves Cereza
zts1915e	Peluca Marrón
zts1916e	Fragmento del Recuerdo Violeta
zts1917e	Contiene el Odio Interminable de los Zombis
zts1918e	Fragmento Verde del Recuerdo
zts1919e	Contiene un Alma salvaje y libre
zts1920e	Fragmento Rojo del Recuerdo
zts1921e	Contiene la Furia de un Guerrero Enfurecido [n]
zts1922e	Fragmento Blanco del Recuerdo
zts1923e	Tratado de Whitney
zts1924e	En la portada dice: "Este mes, un estudio interesante sobre la Profesión premiada".[n] Lazo de Cabello de Natalie
zts1925e	Lazo del Pelo de Natalie
zts1926e	Parece como si hubiera escuchado "Vivir bajo todas las circunstancias"[n]
zts1927e	Collar de Piepe
zts1928e	Suena "Para mi mejor amigo Piepe de Kupie"[n]
zts1929e	Lobo de Madera
zts1930e	Esculpido al minuto con la mente entera.[n]
